id,classification,Kingdom,Phylum,Class,Order,Family,Genus
4b5eeb300368260019c1fbc7a3c718fc,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Phocaeicola(91),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
fe30ff0f71a38a39cf1717ec2be3a2fc,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(97),Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
d29fe3c70564fc0f69f2c03e0d1e5561,Bacteria(100);Bacillota(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100),Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
868528ca947bc57b69ffdf83e6b73bae,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Phocaeicola(97),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
154709e160e8cada6bfb21115acc80f5,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
1d2e5f3444ca750c85302ceee2473331,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(84),Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
0305a4993ecf2d8ef4149fdfc7592603,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
cb2fe0146e2fbcb101050edb996a0ee2,Bacteria(100);Bacillota(100);Bacilli(100);Caryophanales(100);Staphylococcaceae(100);Staphylococcus(100),Bacteria,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus
997056ba80681bbbdd5d09aa591eadc0,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100),Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
3c9c437f27aca05f8db167cd080ff1ec,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
9079bfebcce01d4b5c758067b1208c31,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Pseudomonadales(98);Pseudomonadaceae(98);Pseudomonas(98),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
bfbed36e63b69fec4627424163d20118,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Oscillospiraceae(100);Faecalibacterium(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium
90d32ffe026535b392c0bad850f213c4,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Oscillospiraceae(100);Faecalibacterium(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium
ab4ef4399912b0507d8d1187e874684d,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(99);Neisseriales(99);Neisseriaceae(99);Neisseriaceae_unclassified(99),Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae_unclassified
d86ef5d6394f5dbeb945f39aa25e7426,Bacteria(100);Bacillota(100);Negativicutes(100);Acidaminococcales(100);Acidaminococcaceae(100);Phascolarctobacterium(100),Bacteria,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium
a049763053c277b16c2a318f41eb23b4,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Lawsonellaceae(94);Lawsonella(94),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Lawsonellaceae,Lawsonella
699071a4a7ce68918e4cd93a61275ecd,Bacteria(100);Bacillota(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100),Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
cdd14cce4ec44b3235923652b71e947e,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(94),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
7e598ad34909a3fb8ff1623f1ede11a6,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Corynebacteriaceae(100);Corynebacterium(100),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
b44621e5c80607cdfacbf7a81e1cbe41,Bacteria(100);Bacillota(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100),Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
e8e6b7fc969005938de8ac7ffb94f17c,Bacteria(100);Actinomycetota(99);Actinobacteria(99);Micrococcales(93);Micrococcaceae(83);Rothia(82),Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
535696cecf56f03d3401d7d6dbe66d7b,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
9f718b8f66b79c3de80546ca9a54539c,Bacteria(100);Bacillota(100);Negativicutes(100);Veillonellales(100);Veillonellaceae(100);Veillonella(100),Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
f352c1f1efecf483511c2270aabd0ae6,Bacteria(100);Pseudomonadota(100);Betaproteobacteria(100);Burkholderiales(93);Comamonadaceae(89);Comamonadaceae_unclassified(89),Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
fd86856409fe6433d719558a30910515,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(86),Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
44ff26d8105cf822417b4b0c4eb27c02,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ad41fe8f8be5b01c96549309937e3b14,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Peptoniphilaceae(100);Peptoniphilus(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Peptoniphilaceae,Peptoniphilus
909755d7142ea53c7f61c97c3586f26c,Bacteria(100);Pseudomonadota(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
fcd4f95c05b868060121ff709085bf21,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Peptoniphilaceae(100);Finegoldia(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Peptoniphilaceae,Finegoldia
ab6b063ed43d8cb3008e157a0a305c47,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
57b34afdff2e84fb9b0befd219edcb38,Bacteria(100);Bacillota(99);Clostridia(99);Eubacteriales(99);Lachnospiraceae(99);Lachnospira(97),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira
047b7fb62a5e9d2711e639ae1cb1519a,Bacteria(100);Bacillota(100);Negativicutes(100);Veillonellales(100);Veillonellaceae(100);Veillonella(100),Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
0160e14a78b18b903618f11bc732746e,Bacteria(100);Verrucomicrobiota(100);Verrucomicrobiia(100);Verrucomicrobiales(100);Akkermansiaceae(100);Akkermansia(100),Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia
e7c8b8c8fced8eead4b767bffe6dd544,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100),Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
d2613a43f4ed1dda8a673e7fb251ebef,Bacteria(99);Bacillota(98);Clostridia(98);Eubacteriales(98);Lachnospiraceae(98);Lachnospiraceae_unclassified(98),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
e31b5affbe5e23b79a8619589f3b6620,Bacteria(100);Cyanobacteriota(100);Chloroplast(100);Chloroplast_incertae_sedis(100);Chloroplast(100);Streptophyta(100),Bacteria,Cyanobacteriota,Chloroplast,Chloroplast_incertae_sedis,Chloroplast,Streptophyta
7dd9c9124ec3f118a6cef1f0d422c011,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(99);Lachnospiraceae_unclassified(99),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_unclassified
67e23140639733766b7e127f50221289,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Peptoniphilaceae(100);Anaerococcus(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Peptoniphilaceae,Anaerococcus
01e0b7ac306895be84179f2715af269b,Bacteria(100);Bacillota(100);Clostridia(100);Eubacteriales(100);Lachnospiraceae(100);Lachnospira(100),Bacteria,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira
500d6b485cef4c52aad211d6d6e6dbc7,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Corynebacteriaceae(99);Corynebacterium(99),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
1685b25b43eb070cd7655de8c2d8c0a4,Bacteria(100);Fusobacteriota(100);Fusobacteriia(100);Fusobacteriales(100);Leptotrichiaceae(100);Leptotrichiaceae_unclassified(100),Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichiaceae_unclassified
db793caa585e078770021a7979ae8ea2,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(100);Corynebacteriaceae(99);Corynebacterium(99),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
ee0fb26fca3afb05e0b288d6fcab899e,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
d1d750ce3b00503c204516d27ca0d3b0,Bacteria(100);Bacillota(100);Bacilli(100);Caryophanales(100);Bacillales_Incertae_Sedis XI(92);Gemella(92),Bacteria,Bacillota,Bacilli,Caryophanales,Bacillales_Incertae_Sedis XI,Gemella
ebe0e9790089ad4f40151cb4a3231a8f,Bacteria(100);Bacillota(100);Bacilli(100);Lactobacillales(90);Lactobacillales_unclassified(90);Lactobacillales_unclassified(90),Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillales_unclassified,Lactobacillales_unclassified
b685f8246fb6fad0fd91574c444b8f51,Bacteria(100);Actinomycetota(100);Actinobacteria(100);Mycobacteriales(99);Corynebacteriaceae(81);Corynebacterium(81),Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Corynebacteriaceae,Corynebacterium
