taxid,taxaname
1,root
10239,Viruses
131567,cellular organisms
2787854,other entries
12333,unclassified bacterial viruses
12429,unclassified viruses
12877,unclassified satellites
186616,environmental samples
451344,unclassified archaeal viruses
2559587,Riboviria
2731341,Duplodnaviria
2731342,Monodnaviria
2732004,Varidnaviria
2840022,Adnaviria
2842242,Ribozyviria
3403061,Viruses incertae sedis
3412574,Singelaviria
2,Bacteria
2157,Archaea
2759,Eukaryota
28384,other sequences
280702,Mycoplasma phage phiMFV1
159252,Planaria asexual strain-specific virus-like element type 1
1034806,Mosquito VEM virus SDRBAJ
1297894,Citrus yellow vein-associated virus
1398939,Anopheline-associated C virus
1489714,Tanay virus
1500510,Halovirus VNH-1
1504733,Papaya leaf curl Faisalabad virus
1519385,Sewage-associated circular DNA virus-1
1519386,Sewage-associated circular DNA virus-10
1519387,Sewage-associated circular DNA virus-11
1519388,Sewage-associated circular DNA virus-12
1519389,Sewage-associated circular DNA virus-13
1519391,Sewage-associated circular DNA virus-2
1519392,Sewage-associated circular DNA virus-3
1519393,Sewage-associated circular DNA virus-4
1542745,Ancient caribou feces associated virus
1580607,Magnaporthe oryzae RNA virus
1585924,Arhar cryptic virus-I
1587517,Black grass cryptic virus 2
1592828,Rhizoctonia fumigata mycovirus
1608440,Chimeric virus 14
1608451,Phytophthora parasitica virus
1654356,Thika virus
1676185,Chimpanzee faeces associated circular DNA molecule 1
1678078,Mollivirus sibericum
1678176,Diatom colony associated dsRNA virus 16
1678208,Rhizoctonia solani RNA virus HN008
1685724,Lake Sarah-associated circular molecule 1
1685725,Lake Sarah-associated circular molecule 10
1685726,Lake Sarah-associated circular molecule 11
1685727,Lake Sarah-associated circular molecule 2
1685728,Lake Sarah-associated circular molecule 3
1685729,Lake Sarah-associated circular molecule 4
1685730,Lake Sarah-associated circular molecule 5
1685731,Lake Sarah-associated circular molecule 6
1685732,Lake Sarah-associated circular molecule 7
1685733,Lake Sarah-associated circular molecule 8
1685734,Lake Sarah-associated circular molecule 9
1685738,Lake Sarah-associated circular virus-12
1685739,Lake Sarah-associated circular virus-13
1685740,Lake Sarah-associated circular virus-14
1685741,Lake Sarah-associated circular virus-15
1685743,Lake Sarah-associated circular virus-17
1685744,Lake Sarah-associated circular virus-18
1685745,Lake Sarah-associated circular virus-19
1685746,Lake Sarah-associated circular virus-2
1685747,Lake Sarah-associated circular virus-20
1685748,Lake Sarah-associated circular virus-21
1685749,Lake Sarah-associated circular virus-22
1685750,Lake Sarah-associated circular virus-23
1685751,Lake Sarah-associated circular virus-24
1685752,Lake Sarah-associated circular virus-25
1685753,Lake Sarah-associated circular virus-26
1685754,Lake Sarah-associated circular virus-27
1685756,Lake Sarah-associated circular virus-29
1685757,Lake Sarah-associated circular virus-3
1685759,Lake Sarah-associated circular virus-31
1685761,Lake Sarah-associated circular virus-33
1685763,Lake Sarah-associated circular virus-35
1685764,Lake Sarah-associated circular virus-36
1685765,Lake Sarah-associated circular virus-37
1685768,Lake Sarah-associated circular virus-4
1685769,Lake Sarah-associated circular virus-40
1685771,Lake Sarah-associated circular virus-42
1685772,Lake Sarah-associated circular virus-43
1685775,Lake Sarah-associated circular virus-46
1685776,Lake Sarah-associated circular virus-47
1685777,Lake Sarah-associated circular virus-48
1685779,Lake Sarah-associated circular virus-5
1685780,Lake Sarah-associated circular virus-50
1685781,Lake Sarah-associated circular virus-51
1685783,Lake Sarah-associated circular virus-6
1685785,Lake Sarah-associated circular virus-8
1736634,Torulaspora delbrueckii dsRNA Mbarr-1 killer virus
1755754,Penicillium aurantiogriseum bipartite virus 1
1755781,Penicillium aurantiogriseum partiti-like virus
1758881,Daeseongdong virus 1
1758882,Daeseongdong virus 2
1804155,Marine RNA virus PAL438
1804157,Marine RNA virus PAL_E4
1808960,Phomopsis longicolla circular virus 1
1809112,Lake Sarah-associated circular molecule 12
1820160,Human feces pecovirus
1843763,Bovine faeces associated circular DNA molecule 1
1843764,Bovine faeces associated circular DNA virus 1
1843765,Bovine faeces associated circular DNA virus 2
1843766,Chamois faeces associated circular DNA virus 1
1843767,Deer faeces associated circular DNA virus 1
1843768,Duck faeces associated circular DNA virus 1
1843769,Duck faeces associated circular DNA virus 2
1843770,Duck faeces associated circular DNA virus 3
1843772,Porcine faeces associated circular DNA molecule-1
1859492,Kaumoebavirus
1868621,Diaphorina citri flavi-like virus
1888308,Wabat virus
1888317,Duwamo virus
1888318,Egaro virus
1897732,Aphis glycines virus 2
1904876,Human DNA virus
1911102,Lodeiro virus
1911438,Bradson virus
1911439,Corey virus
1916647,Burke-Gilman virus
1920988,Diabrotica virgifera virgifera virus 2
1920989,Diabrotica virgifera virgifera virus 3
1929030,Swagivirus HG
1930302,Chicken stool-associated circular virus
1930507,Basavirus sp.
1930508,Rasavirus sp.
1930510,Posavirus sp.
1932881,Pacmanvirus A23
1955175,Cordoba virus
1955196,Big Cypress virus
1955197,Biratnagar virus
1955198,Fort Crockett virus
1955199,San Bernardo virus
1958785,Bat badicivirus 1
1958786,Bat badicivirus 2
1981916,Salmovirus WFRC1
2010265,Aedes alboannulatus toti-like virus 1
2010268,Aedes camptorhynchus negev-like virus
2010269,Aedes camptorhynchus reo-like virus
2010273,Culex negev-like virus 1
2010274,Culex negev-like virus 2
2010275,Culex negev-like virus 3
2010278,Leshenault partiti-like virus
2010279,Point-Douro narna-like virus
2010280,Wilkie narna-like virus 1
2010281,Wilkie narna-like virus 2
2010283,Wilkie partiti-like virus 1
2010284,Wilkie partiti-like virus 2
2021738,Hudisavirus sp.
2056385,Varroa destructor virus 3
2077300,Varroa mite associated virus 1
2080449,Acanthamoeba castellanii medusavirus
2109373,Chicken stool associated circular virus 1
2109374,Chicken stool associated circular virus 2
2137352,Pythium polare bunya-like RNA virus 1
2204151,unclassified DNA viruses
2340909,Bovine serum-associated circular virus
2480172,Cragig virus 1
2480175,Elicom virus 1
2480177,Halhan virus 2
2480178,Halhan virus 3
2480179,Mizyes virus 1
2480188,Rudphi virus 5
1250315,RNA satellites
2609695,DNA satellites
340016,uncultured virus
1379788,Boiling Springs Lake RNA-DNA hybrid virus
762906,Hyperthermophilic Archaeal Virus 2
1032473,Aeropyrum pernix spindle-shaped virus 1
1115696,Thermococcus prieurii virus 1
1932713,Aeropyrum globular virus 1
2023155,Metallosphaera turreted icosahedral virus
2585030,unclassified Riboviria
2732396,Orthornavirae
2732397,Pararnavirae
3420529,Riboviria incertae sedis
35325,dsRNA viruses
265963,unclassified viroids
1425366,Virus-associated RNAs
1922240,Sarthroviridae
2731360,Heunggongvirae
2732090,Loebvirae
2732091,Sangervirae
2732092,Shotokuvirae
2732093,Trapavirae
2732005,Bamfordvirae
2872566,unclassified Varidnaviria
3412606,Abadenavirae
2840023,Zilligvirae
2842321,Kolmioviridae
3424590,Obscuriviridae
10472,Plasmaviridae
10474,Fuselloviridae
185751,Pospiviroidae
185752,Avsunviroidae
292638,Globuloviridae
324686,Guttaviridae
423358,Bicaudaviridae
573053,Ampullaviridae
687329,Anelloviridae
1232647,Dinodnavirus
1232737,Clavaviridae
1458186,Alphasatellitidae
1511855,Spiraviridae
1993640,Tolecusatellitidae
2169572,Portogloboviridae
2560062,Ovaliviridae
2732902,Halspiviridae
2732903,Thaspiviridae
2840056,Naldaviricetes
2946196,Polydnaviriformidae
3044467,Itzamnaviridae
2732006,Helvetiavirae
2323,Bacteria incertae sedis
48479,environmental samples
49928,unclassified Bacteria
68525,delta/epsilon subdivisions
1783272,Bacillati
3379134,Pseudomonadati
3384189,Fusobacteriati
3384194,Thermotogati
1783275,Thermoproteati
1783276,Nanobdellati
1935183,Promethearchaeati
3366610,Methanobacteriati
33090,Viridiplantae
33154,Opisthokonta
554915,Amoebozoa
2611352,Discoba
2698737,Sar
36549,plasmids
2282642,Arctopus echinatus-associated virus
2282643,Holcus lanatus-associated virus
2282644,Lolium perenne-associated virus
2282645,Panicum ecklonii-associated virus
2282646,Stipagrostis associaed virus
35342,unclassified ssDNA viruses
51368,unclassified dsDNA viruses
79205,unclassified dsDNA phages
2136008,unclassified archaeal dsDNA viruses
2136181,unclassified ssDNA bacterial viruses
1250316,Olive viral satellite RNA
1538550,Ethiopian tobacco bushy top virus satellite RNA
1958957,Cassava satellite virus
2219109,Botrytis cinerea hypovirus 1 satellite-like RNA
2219110,Botrytis cinerea hypovirus 1 satellite-like RNA-S
198607,Double stranded RNA satellites
373507,Single stranded RNA satellites
570949,Carrot mottle mimic virus satellite RNA
570950,Carrot mottle virus satellite RNA
361688,Single stranded DNA satellites
1592207,Sewage-associated circular DNA molecule
1592211,Sewage-associated circular DNA molecule-1
1592212,Sewage-associated circular DNA molecule-3
1595961,Sewage-associated circular DNA molecule-2
2873234,Arceuthobium sichuanense virus 1
439490,unclassified ssRNA viruses
